movieId,title,isAdult,year,runtime,genres,imdbRating,imdbVotes
1,Toy Story,0,1995,81,"['Adventure', 'Animation', 'Comedy']",8.3,1069286
2,Jumanji,0,1995,104,"['Adventure', 'Comedy', 'Family']",7.1,377165
3,Grumpier Old Men,0,1995,101,"['Comedy', 'Romance']",6.6,29751
4,Waiting to Exhale,0,1995,124,"['Comedy', 'Drama', 'Romance']",6.0,12207
5,Father of the Bride Part II,0,1995,106,"['Comedy', 'Family', 'Romance']",6.1,41697
6,Heat,0,1995,170,"['Action', 'Crime', 'Drama']",8.3,719899
7,Sabrina,0,1995,127,"['Comedy', 'Drama', 'Romance']",6.3,44464
8,Tom and Huck,0,1995,97,"['Adventure', 'Comedy', 'Drama']",5.5,11664
9,Sudden Death,0,1995,111,"['Action', 'Crime', 'Thriller']",5.8,37039
10,GoldenEye,0,1995,130,"['Action', 'Adventure', 'Thriller']",7.2,270318
11,The American President,0,1995,114,"['Comedy', 'Drama', 'Romance']",6.8,60657
12,Dracula: Dead and Loving It,0,1995,88,"['Comedy', 'Fantasy', 'Horror']",5.8,45216
13,Balto,0,1995,78,"['Adventure', 'Animation', 'Drama']",7.1,48149
14,Nixon,0,1995,192,"['Biography', 'Drama', 'History']",7.1,32745
15,Cutthroat Island,0,1995,124,"['Action', 'Adventure', 'Comedy']",5.7,30567
16,Casino,0,1995,178,"['Crime', 'Drama']",8.2,564408
17,Sense and Sensibility,0,1995,136,"['Drama', 'Romance']",7.7,125812
18,Four Rooms,0,1995,98,['Comedy'],6.7,111136
19,Ace Ventura: When Nature Calls,0,1995,90,"['Adventure', 'Comedy', 'Crime']",6.4,233662
20,Money Train,0,1995,110,"['Action', 'Comedy', 'Crime']",5.7,43202
21,Get Shorty,0,1995,105,"['Comedy', 'Crime', 'Thriller']",6.9,89176
22,Copycat,0,1995,123,"['Drama', 'Mystery', 'Thriller']",6.6,65992
23,Assassins,0,1995,133,"['Action', 'Crime', 'Thriller']",6.3,88243
24,Powder,0,1995,111,"['Drama', 'Fantasy', 'Mystery']",6.6,32612
25,Leaving Las Vegas,0,1995,111,"['Drama', 'Romance']",7.5,134750
26,Othello,0,1995,123,"['Drama', 'Romance']",6.8,10181
27,Now and Then,0,1995,102,"['Comedy', 'Drama', 'Romance']",6.8,32453
28,Persuasion,0,1995,103,['Drama'],7.7,11398
29,The City of Lost Children,0,1995,112,"['Adventure', 'Drama', 'Fantasy']",7.5,71700
31,Dangerous Minds,0,1995,99,"['Biography', 'Drama']",6.5,57101
32,12 Monkeys,0,1995,129,"['Mystery', 'Sci-Fi', 'Thriller']",8.0,646960
34,Babe,0,1995,91,"['Comedy', 'Drama', 'Family']",6.9,134205
36,Dead Man Walking,0,1995,122,"['Crime', 'Drama']",7.5,101823
39,Clueless,0,1995,97,"['Comedy', 'Romance']",6.9,246134
